time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,
1615147699.218973,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.888888888875954,0.0019025,
1615147699.2434022,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.888888888875954,0.0019025,
1615147699.2995834,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.111111111124046,0.0019025,
1615147699.3239632,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.111111111124046,0.0019025,
1615147699.3679836,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.111111111124046,0.0019025,
1615147699.3936672,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.111111111124046,0.0019025,
1615147699.414496,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.111111111124046,0.0019025,
1615147699.438899,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.111111111124046,0.0019025,
1615147699.4612687,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.111111111124046,0.0019025,
1615147699.4818206,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.111111111124046,0.0019025,
1615147699.5122569,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.111111111124046,0.0019025,
1615147699.5362186,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.111111111124046,0.0019025,
1615147699.5790117,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.888888888875954,0.0019025,
1615147699.609962,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.888888888875954,0.0019025,
1615147699.6330237,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.888888888875954,0.0019025,
1615147699.6642008,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.888888888875954,0.0019025,
1615147699.7015693,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.111111111124046,0.0019025,
1615147699.725937,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.111111111124046,0.0019025,
1615147699.7739108,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.888888888875954,0.0019025,
1615147699.8078341,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.888888888875954,0.0019025,
1615147699.835278,47.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.888888888875954,0.0019025,
1615147699.8580658,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.888888888875954,0.0019025,
1615147699.891517,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.11111111112405,0.0019025,
1615147699.9159,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.11111111112405,0.0019025,
1615147699.9431956,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.11111111112405,0.0019025,
1615147699.9718983,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.11111111112405,0.0019025,
1615147699.9943464,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.88888888887595,0.0019025,
1615147700.0187922,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.88888888887595,0.0019025,
1615147700.0582094,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.88888888887595,0.0019025,
1615147700.0942166,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.888888888875954,0.0019025,
1615147700.1185966,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.888888888875954,0.0019025,
1615147700.1474106,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.888888888875954,0.0019025,
1615147700.1985738,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.888888888875954,0.0019025,
1615147700.2220218,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.888888888875954,0.0019025,
1615147700.2728508,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.88888888887595,0.0019025,
1615147700.296212,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.88888888887595,0.0019025,
1615147700.3273706,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.88888888887595,0.0019025,
1615147700.3505187,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.88888888887595,0.0019025,
1615147700.3765132,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.88888888887595,0.0019025,
1615147700.400903,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.88888888887595,0.0019025,
1615147700.4431798,47.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.88888888887595,0.0019025,
1615147700.4680214,47.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.88888888887595,0.0019025,
1615147700.491685,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.111111111124046,0.0019025,
1615147700.515713,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.111111111124046,0.0019025,
1615147700.5488484,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.111111111124046,0.0019025,
1615147700.576358,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.111111111124046,0.0019025,
1615147700.5986853,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.111111111124046,0.0019025,
1615147700.634646,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.111111111124046,0.0019025,
1615147700.6774375,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11111111112405,0.0019025,
1615147700.7010646,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11111111112405,0.0019025,
1615147700.7287343,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11111111112405,0.0019025,
1615147700.7759345,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.888888888875954,0.0019025,
1615147700.8019865,47.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.888888888875954,0.0019025,
1615147700.8275838,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.888888888875954,0.0019025,
1615147700.8720088,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.111111111124046,0.0019025,
1615147700.8963869,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.111111111124046,0.0019025,
1615147700.9195666,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.111111111124046,0.0019025,
1615147700.9601648,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.111111111124046,0.0019025,
1615147700.987864,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.111111111124046,0.0019025,
1615147701.0219293,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.111111111124046,0.0019025,
1615147701.0441449,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.111111111124046,0.0019025,
1615147701.075727,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111124046,0.0019025,
1615147701.09889,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111124046,0.0019025,
1615147701.124753,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111124046,0.0019025,
1615147701.1575096,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111124046,0.0019025,
1615147701.1830745,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.11111111112405,0.0019025,
1615147701.207458,49.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.11111111112405,0.0019025,
1615147701.234476,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.11111111112405,0.0019025,
1615147701.2668717,48.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.888888888875954,0.0019025,
1615147701.2912729,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.888888888875954,0.0019025,
1615147701.337586,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.888888888875954,0.0019025,
1615147701.3812401,48.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.888888888875954,0.0019025,
