UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629070701.7159307,-0.005102123110450242,-153.06369331350726
D,1629070701.8256822,-0.0051804169878041425,-155.4125096341243
D,1629070701.962126,-0.005241961215799014,-157.25883647397043
D,1629070702.0758922,-0.005359595363313788,-160.78786089941363
D,1629070702.1985233,-0.005439002965579701,-163.17008896739105
D,1629070702.3168943,-0.005471931701336164,-164.1579510400849
D,1629070702.4225388,-0.005549126024244485,-166.47378072733454
D,1629070702.5324419,-0.005669263655948007,-170.0779096784402
D,1629070702.6517255,-0.0057245139843573375,-171.73541953072012
D,1629070702.754708,-0.005802610897495647,-174.0783269248694
D,1629070702.8655012,-0.00587424402348616,-176.2273207045848
D,1629070702.9754858,-0.00595203313723648,-178.5609941170944
D,1629070703.086649,-0.006026691578793017,-180.8007473637905
D,1629070703.1986742,-0.00611086509347212,-183.3259528041636
D,1629070703.3162522,-0.006157874584493286,-184.7362375347986
D,1629070703.4220877,-0.00623435232429792,-187.03056972893762
D,1629070703.5300398,-0.006330692685741904,-189.92078057225712
D,1629070703.6407094,-0.006408116264672223,-192.2434879401667
D,1629070703.7526307,-0.006484141550438959,-194.52424651316878
D,1629070703.8636622,-0.006561498543980536,-196.84495631941607
D,1629070703.975905,-0.006641061389237448,-199.23184167712344
D,1629070704.0843747,-0.006732673397906037,-201.9802019371811
D,1629070704.1951158,-0.006784748330233103,-203.5424499069931
D,1629070704.3067505,-0.0068616431769270275,-205.84929530781082
D,1629070704.4184957,-0.006967548181786935,-209.02644545360803
D,1629070704.5310857,-0.007045824464583999,-211.37473393751995
D,1629070704.6377254,-0.007089088106061914,-212.6726431818574
D,1629070704.7486668,-0.007165697120224734,-214.97091360674202
D,1629070704.8605902,-0.007270195666782407,-218.1058700034722
D,1629070704.9712427,-0.007329964898991153,-219.89894696973457
D,1629070705.082767,-0.007424223466148983,-222.72670398446948
D,1629070705.1938026,-0.007470132296479978,-224.10396889439932
D,1629070705.29802,-0.007571265225563973,-227.13795676691916
D,1629070705.4141371,-0.007633230511321672,-228.99691533965017
D,1629070705.5257075,-0.007738665994369984,-232.15997983109955
D,1629070705.6367097,-0.007816834128588657,-234.5050238576597
D,1629070705.7475324,-0.007832858972883055,-234.98576918649167
D,1629070705.8632135,-0.007945308520745936,-238.35925562237807
D,1629070705.9756172,-0.008010042473324448,-240.30127419973343
D,1629070706.0866628,-0.008066962756962032,-242.00888270886094
D,1629070706.1975002,-0.008137220504855498,-244.11661514566495
D,1629070706.3076699,-0.008212443710615122,-246.37331131845366
D,1629070706.4154487,-0.008341865157643284,-250.2559547292985
D,1629070706.52744,-0.0084064894339723,-252.19468301916902
D,1629070706.6340272,-0.008456145852230906,-253.68437556692717
D,1629070706.7450395,-0.008532011838776473,-255.96035516329417
