UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072386.9437451,-0.009970994186491547,-299.12982559474636
D,-0.2,1629072387.068699,-0.010250001959457564,-307.5000587837269
D,-0.2,1629072387.2013347,-0.010139619151675314,-304.1885745502594
D,-0.2,1629072387.3119283,-0.01028617812100836,-308.5853436302508
D,-0.2,1629072387.4353688,-0.010480360112268853,-314.4108033680656
D,-0.2,1629072387.5547426,-0.010615551874082252,-318.46655622246755
D,-0.2,1629072387.6683018,-0.010794937229351875,-323.84811688055623
D,-0.2,1629072387.7842832,-0.011014687167036297,-330.4406150110889
D,-0.2,1629072387.892282,-0.011007437751451547,-330.2231325435464
D,-0.2,1629072388.00083,-0.011070947813725057,-332.1284344117517
D,-0.2,1629072388.1354206,-0.011200234125839453,-336.0070237751836
D,-0.2,1629072388.2570567,-0.011150162438665357,-334.50487315996077
D,-0.2,1629072388.36184,-0.01148221228682635,-344.46636860479043
D,-0.2,1629072388.4731164,-0.01161366206217285,-348.4098618651855
D,-0.2,1629072388.5928295,-0.01151921037054915,-345.5763111164745
D,-0.2,1629072388.6969988,-0.011636541304210012,-349.0962391263003
D,-0.2,1629072388.8047123,-0.011876606247333929,-356.2981874200178
D,-0.2,1629072388.9170282,-0.012001608056586231,-360.0482416975869
D,-0.2,1629072389.0287628,-0.012213170871203206,-366.39512613609617
D,-0.2,1629072389.1372383,-0.012155969279602321,-364.6790783880696
D,-0.2,1629072389.2484176,-0.012274655310209387,-368.2396593062816
D,-0.2,1629072389.3613358,-0.01266068083376278,-379.8204250128834
D,-0.2,1629072389.4729261,-0.012423489594771128,-372.7046878431338
D,-0.2,1629072389.5857513,-0.012910612247858496,-387.31836743575485
D,-0.2,1629072389.696926,-0.012903467135335226,-387.1040140600568
D,-0.2,1629072389.8084757,-0.013078597698311782,-392.35793094935343
D,-0.2,1629072389.9197814,-0.013071503929585105,-392.1451178875531
D,-0.2,1629072390.0271058,-0.01313382922146062,-394.01487664381864
D,-0.2,1629072390.1338322,-0.013608613700346939,-408.25841101040817
