UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629071033.1973805,0.002099582331208698,62.98746993626094
D,1629071033.3005922,0.002199562442218636,65.98687326655907
D,1629071033.422141,0.002190477898958271,65.71433696874811
D,1629071033.536437,0.00225910619539371,67.7731858618113
D,1629071033.6514337,0.00234951644783465,70.4854934350395
D,1629071033.7696614,0.00237872398164561,71.3617194493683
D,1629071033.8885283,0.002442323711594863,73.26971134784588
D,1629071033.994437,0.0025428411940846725,76.28523582254017
D,1629071034.102123,0.002619630941689263,78.58892825067788
D,1629071034.209939,0.002708628361751989,81.25885085255966
D,1629071034.3242443,0.002764833373390589,82.94500120171766
D,1629071034.4341402,0.00288651968899067,86.5955906697201
D,1629071034.535958,0.002975586539071087,89.2675961721326
D,1629071034.6578698,0.0030428791768581445,91.28637530574433
D,1629071034.772626,0.0031165379361990696,93.49613808597208
D,1629071034.8844237,0.0031958975953462077,95.87692786038623
D,1629071034.9956427,0.0032516989330655588,97.55096799196676
D,1629071035.1076894,0.003360605015613962,100.81815046841885
D,1629071035.2191985,0.003461775498482606,103.85326495447819
D,1629071035.353444,0.0035424332566403316,106.27299769920995
D,1629071035.471379,0.003629408198198331,108.88224594594993
D,1629071035.5856676,0.003697114571462588,110.91343714387763
D,1629071035.6922235,0.0037636887824049744,112.91066347214922
D,1629071035.7991548,0.0038926898506352423,116.78069551905728
D,1629071035.9163811,0.003944708990774766,118.34126972324297
D,1629071036.0360339,0.004032308064995595,120.96924194986784
D,1629071036.142779,0.004117948559506432,123.53845678519296
D,1629071036.26488,0.004214191302181653,126.42573906544959
D,1629071036.3785503,0.0042971783373441305,128.9153501203239
D,1629071036.4896522,0.004363437900717722,130.90313702153168
D,1629071036.6019301,0.0044638709925486995,133.91612977646096
D,1629071036.718401,0.004539993200559825,136.19979601679475
D,1629071036.8479445,0.0046219353086882145,138.65805926064644
D,1629071036.9573166,0.004723953859731984,141.7186157919595
D,1629071037.0642612,0.004764689147003854,142.94067441011563
D,1629071037.173718,0.004897649728018464,146.9294918405539
D,1629071037.280822,0.004960289132305716,148.80867396917148
D,1629071037.391574,0.0050655452398421265,151.9663571952638
D,1629071037.5044837,0.005118266265835763,153.54798797507289
D,1629071037.610851,0.005235687745144265,157.07063235432793
D,1629071037.7292733,0.005326895494579007,159.80686483737023
