UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629073030.9509256,-0.0023050855518179495,-69.15256655453848
D,-0.2,1629073031.0523908,-0.0024491533988065715,-73.47460196419713
D,-0.2,1629073031.168553,-0.0022188225619879055,-66.56467685963717
D,-0.2,1629073031.3023643,-0.002640769989676863,-79.22309969030589
D,-0.2,1629073031.4166322,-0.002446212644624129,-73.38637933872387
D,-0.2,1629073031.546499,-0.0029134113760742337,-87.40234128222701
D,-0.2,1629073031.6583767,-0.0029590162901737974,-88.77048870521392
D,-0.2,1629073031.769745,-0.003246012834796072,-97.38038504388216
D,-0.2,1629073031.8812852,-0.0031787168139765904,-95.3615044192977
D,-0.2,1629073032.012335,-0.0033333333333333335,-100.0
D,-0.2,1629073032.1431375,-0.0033333333333333335,-100.0
D,-0.2,1629073032.2540884,-0.0033333333333333335,-100.0
D,-0.2,1629073032.366056,-0.0033333333333333335,-100.0
D,-0.2,1629073032.4807765,-0.0033333333333333335,-100.0
D,-0.2,1629073032.6060123,-0.0033333333333333335,-100.0
D,-0.2,1629073032.7465096,-0.0033333333333333335,-100.0
D,-0.2,1629073032.890396,-0.0033333333333333335,-100.0
D,-0.2,1629073033.0112875,-0.0033333333333333335,-100.0
D,-0.2,1629073033.1305857,-0.0033333333333333335,-100.0
D,-0.2,1629073033.2420757,-0.0033333333333333335,-100.0
D,-0.2,1629073033.3483374,-0.0033333333333333335,-100.0
D,-0.2,1629073033.474528,-0.0033333333333333335,-100.0
D,-0.2,1629073033.605811,-0.0033333333333333335,-100.0
D,-0.2,1629073033.7144008,-0.0033333333333333335,-100.0
D,-0.2,1629073033.8156295,-0.0033333333333333335,-100.0
D,-0.2,1629073033.9229095,-0.0033333333333333335,-100.0
D,-0.2,1629073034.0401604,-0.0033333333333333335,-100.0
D,-0.2,1629073034.1457715,-0.0033333333333333335,-100.0
D,-0.2,1629073034.2613568,-0.0033333333333333335,-100.0
D,-0.2,1629073034.3694332,-0.0033333333333333335,-100.0
D,-0.2,1629073034.4773977,-0.0033333333333333335,-100.0
D,-0.2,1629073034.5881612,-0.0033333333333333335,-100.0
D,-0.2,1629073034.6978579,-0.0033333333333333335,-100.0
D,-0.2,1629073034.8217075,-0.0033333333333333335,-100.0
D,-0.2,1629073034.9350584,-0.0033333333333333335,-100.0
D,-0.2,1629073035.039936,-0.0033333333333333335,-100.0
D,-0.2,1629073035.1453395,-0.0033333333333333335,-100.0
D,-0.2,1629073035.2541614,-0.0033333333333333335,-100.0
D,-0.2,1629073035.3618438,-0.0033333333333333335,-100.0
D,-0.2,1629073035.4745822,-0.0033333333333333335,-100.0
D,-0.2,1629073035.5965085,-0.0033333333333333335,-100.0
D,-0.2,1629073035.7013485,-0.0033333333333333335,-100.0
D,-0.2,1629073035.8074567,-0.0033333333333333335,-100.0
D,-0.2,1629073035.9197786,-0.0033333333333333335,-100.0
D,-0.2,1629073036.0306897,-0.0033333333333333335,-100.0
D,-0.2,1629073036.1389024,-0.0033333333333333335,-100.0
D,-0.2,1629073036.2491047,-0.0033333333333333335,-100.0
D,-0.2,1629073036.3655827,-0.0033333333333333335,-100.0
D,-0.2,1629073036.4719782,-0.0033333333333333335,-100.0
D,-0.2,1629073036.575017,-0.0033333333333333335,-100.0
D,-0.2,1629073036.686134,-0.0033333333333333335,-100.0
D,-0.2,1629073036.7969012,-0.0033333333333333335,-100.0
D,-0.2,1629073036.9086277,-0.0033333333333333335,-100.0
D,-0.2,1629073037.020152,-0.0033333333333333335,-100.0
D,-0.2,1629073037.131218,-0.0033333333333333335,-100.0
D,-0.2,1629073037.2416844,-0.0033333333333333335,-100.0
D,-0.2,1629073037.352025,-0.0033333333333333335,-100.0
D,-0.2,1629073037.462786,-0.0033333333333333335,-100.0
D,-0.2,1629073037.573574,-0.0033333333333333335,-100.0
D,-0.2,1629073037.6851418,-0.0033333333333333335,-100.0
D,-0.2,1629073037.7956676,-0.0033333333333333335,-100.0
D,-0.2,1629073037.9071486,-0.0033333333333333335,-100.0
D,-0.2,1629073038.0265436,-0.0033333333333333335,-100.0
D,-0.2,1629073038.1325665,-0.0033333333333333335,-100.0
D,-0.2,1629073038.2436948,-0.0033333333333333335,-100.0
D,-0.2,1629073038.3553143,-0.0033333333333333335,-100.0
D,-0.2,1629073038.4648497,-0.0033333333333333335,-100.0
D,-0.2,1629073038.5866902,-0.0033333333333333335,-100.0
D,-0.2,1629073038.702031,-0.0033333333333333335,-100.0
D,-0.2,1629073038.808245,-0.0033333333333333335,-100.0
D,-0.2,1629073038.9239686,-0.0033333333333333335,-100.0
D,-0.2,1629073039.031039,-0.0033333333333333335,-100.0
D,-0.2,1629073039.1415918,-0.0033333333333333335,-100.0
D,-0.2,1629073039.2485693,-0.0033333333333333335,-100.0
D,-0.2,1629073039.3519418,-0.0033333333333333335,-100.0
D,-0.2,1629073039.462662,-0.0033333333333333335,-100.0
