UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629069843.6129217,-0.006600460865008682,-198.01382595026044
D,1629069843.723358,-0.007203836983026259,-216.11510949078777
D,1629069843.8342369,-0.007674853148166942,-230.24559444500824
D,1629069843.9483027,-0.008096396158759022,-242.89188476277064
D,1629069844.058008,-0.008658814993092921,-259.7644497927876
D,1629069844.1718855,-0.008629355042619163,-258.8806512785749
D,1629069844.286144,-0.007358506920364188,-220.75520761092565
D,1629069844.391894,-0.007479006326007525,-224.37018978022573
D,1629069844.5088947,-0.007812773885386785,-234.38321656160355
D,1629069844.6205766,-0.007861196082709635,-235.83588248128905
D,1629069844.7319052,-0.008169023154629222,-245.07069463887666
D,1629069844.8371682,-0.007785174904657952,-233.55524713973855
D,1629069844.956511,-0.006606747196620323,-198.20241589860967
D,1629069845.0747745,-0.006637578524589823,-199.12735573769467
D,1629069845.1837022,-0.006745426601015541,-202.36279803046622
D,1629069845.3074565,-0.008317241157439977,-249.5172347231993
D,1629069845.4240415,-0.00855817709568376,-256.74531287051275
D,1629069845.5399356,-0.008618480992058466,-258.55442976175397
D,1629069845.6681604,-0.00871851013171187,-261.55530395135605
D,1629069845.7938828,-0.009016263108242014,-270.4878932472604
D,1629069845.9017565,-0.007587539343573586,-227.62618030720756
D,1629069846.0123699,0.0,0.0
D,1629069846.1215336,0.0,0.0
D,1629069846.2343748,0.0,0.0
D,1629069846.3455174,0.0,0.0
D,1629069846.4692495,0.0,0.0
D,1629069846.5730271,0.0,0.0
D,1629069846.6841018,0.0,0.0
D,1629069846.797044,0.0,0.0
D,1629069846.9230235,0.0,0.0
D,1629069847.0270536,0.0,0.0
D,1629069847.1416042,0.0,0.0
D,1629069847.2531972,0.0,0.0
D,1629069847.3680248,0.0,0.0
D,1629069847.4916983,0.0,0.0
D,1629069847.6035013,0.0,0.0
D,1629069847.7186658,0.0,0.0
D,1629069847.8217878,0.0,0.0
D,1629069847.9320438,0.0,0.0
D,1629069848.0423312,0.0,0.0
D,1629069848.1640863,0.0,0.0
D,1629069848.2754483,0.0,0.0
D,1629069848.3865395,0.0,0.0
D,1629069848.497395,0.0,0.0
D,1629069848.6082008,0.0,0.0
D,1629069848.7188017,0.0,0.0
D,1629069848.832541,0.0,0.0
D,1629069848.9521272,0.0,0.0
D,1629069849.055934,0.0,0.0
D,1629069849.1691973,0.0,0.0
D,1629069849.2751894,0.0,0.0
D,1629069849.3973467,0.0,0.0
D,1629069849.4988427,0.0,0.0
D,1629069849.6069171,0.0,0.0
D,1629069849.732423,0.0,0.0
D,1629069849.8440554,0.0,0.0
D,1629069849.955257,0.0,0.0
D,1629069850.0653353,0.0,0.0
D,1629069850.1765854,0.0,0.0
D,1629069850.2882175,0.0,0.0
D,1629069850.3979642,0.0,0.0
D,1629069850.5080926,0.0,0.0
D,1629069850.6200242,0.0,0.0
D,1629069850.7311885,0.0,0.0
D,1629069850.8430142,0.0,0.0
D,1629069850.9536953,0.0,0.0
D,1629069851.064209,0.0,0.0
D,1629069851.175107,0.0,0.0
D,1629069851.2855935,0.0,0.0
D,1629069851.3956754,0.0,0.0
D,1629069851.5074215,0.0,0.0
D,1629069851.6198764,0.0,0.0
D,1629069851.727806,0.0,0.0
D,1629069851.8391242,0.0,0.0
D,1629069851.9506605,0.0,0.0
D,1629069852.0624037,0.0,0.0
D,1629069852.1706262,0.0,0.0
D,1629069852.280747,0.0,0.0
D,1629069852.391797,0.0,0.0
D,1629069852.50224,0.0,0.0
D,1629069852.6137886,0.0,0.0
D,1629069852.7238445,0.0,0.0
D,1629069852.834334,0.0,0.0
D,1629069852.9459174,0.0,0.0
D,1629069853.0571637,0.0,0.0
D,1629069853.16923,0.0,0.0
D,1629069853.2796047,0.0,0.0
D,1629069853.3920877,0.0,0.0
D,1629069853.5000076,0.0,0.0
D,1629069853.6114986,0.0,0.0
D,1629069853.7226665,0.0,0.0
D,1629069853.8346097,0.0,0.0
D,1629069853.942694,0.0,0.0
D,1629069854.054008,0.0,0.0
D,1629069854.1655834,0.0,0.0
D,1629069854.2769322,0.0,0.0
D,1629069854.3854194,0.0,0.0
D,1629069854.4959774,0.0,0.0
D,1629069854.6064768,0.0,0.0
D,1629069854.7184792,0.0,0.0
D,1629069854.8298697,0.0,0.0
D,1629069854.9394271,0.0,0.0
D,1629069855.05096,0.0,0.0
D,1629069855.1624162,0.0,0.0
D,1629069855.2739272,0.0,0.0
D,1629069855.3846273,0.0,0.0
D,1629069855.4932475,0.0,0.0
D,1629069855.604403,0.0,0.0
D,1629069855.7164578,0.0,0.0
D,1629069855.828512,0.0,0.0
D,1629069855.9418104,0.0,0.0
D,1629069856.0534024,0.0,0.0
