time_s,cpu_t_degC,motor_command,Z1_m,Z2_m,X_m,Y_m,TZ1,TZ2,TX,TY,WOB_gm,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,
1623529195.6525383,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,-0.091547146780592,-0.030515715593530668,-0.732377174244736,-8.246145722447146,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529195.7609127,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6103143118706134,-0.12206286237412267,-0.24412572474824534,0.274641440341776,-4.926439403089109,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529195.8162546,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.1290814769606348,0.33567287152883735,-0.030515715593530668,0.15257857796765334,-6.452000235933255,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529195.9246013,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0680500457735733,0.0,0.366188587122368,-0.091547146780592,-7.574684088272786,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529195.9799688,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7018614586512053,0.12206286237412267,0.061031431187061336,-0.274641440341776,-8.181685405566407,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529196.0883172,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.732377174244736,0.15257857796765334,-0.3051571559353067,0.030515715593530668,-5.4367502450616225,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.2941165,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,-0.061031431187061336,-0.15257857796765334,0.0,-5.340059769740515,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.349403,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0680500457735733,0.061031431187061336,-0.3051571559353067,0.42722001830942935,-5.673104740290998,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.4577959,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.9765028989929814,-0.33567287152883735,-0.366188587122368,-0.12206286237412267,-5.517325641162546,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.5131235,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.098565761367104,-0.3051571559353067,-0.3967043027158987,0.15257857796765334,-6.511088859740599,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.6215122,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.183094293561184,-0.091547146780592,-0.33567287152883735,0.15257857796765334,-6.489602087447019,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.6768029,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.3121757705218187,-0.183094293561184,-0.6103143118706134,0.091547146780592,-5.9792912454745055,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.7852528,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7018614586512053,-0.274641440341776,-0.274641440341776,0.061031431187061336,253.22101462504872,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.8936286,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.3967043027158987,-0.183094293561184,-0.823924321025328,0.030515715593530668,-6.618522721208497,106.575927734375,1029.3837890625,0.0,0.0,0.0,0.0,0.0,
1623529196.9489152,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.2206286237412267,-0.15257857796765334,-0.3051571559353067,-0.24412572474824534,-7.032143087859903,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.0573044,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.030515715593530668,0.183094293561184,-0.183094293561184,-0.3051571559353067,-5.732193364098341,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.1236658,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.2511443393347574,-0.183094293561184,-0.15257857796765334,0.030515715593530668,-6.90859414717182,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.2322059,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.647848642050656,-0.3967043027158987,-1.0375343301800428,-0.24412572474824534,74.45106914246706,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.3515692,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.3051571559353067,-0.15257857796765334,-0.5187671650900214,-0.366188587122368,-5.485095482722176,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.4068654,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7628928898382668,0.15257857796765334,0.549282880683552,0.7018614586512053,78.57652942283433,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.5152497,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.1290814769606348,0.15257857796765334,0.274641440341776,-0.274641440341776,-6.833390444144292,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.570567,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.3051571559353067,-0.061031431187061336,-0.366188587122368,-0.42722001830942935,-1440.5973603570455,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.7763174,72.062,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.274641440341776,0.061031431187061336,-0.7934086054317974,-0.3967043027158987,-5.995406324694691,105.85509490966797,1016.9852294921875,0.0,0.0,0.0,0.0,0.0,
1623529197.8846397,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.9459871833994506,0.061031431187061336,0.061031431187061336,-0.091547146780592,-5.726821671024946,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529197.9399598,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6408300274641441,0.15257857796765334,0.15257857796765334,0.5187671650900214,-5.807397067125869,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.0485275,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7628928898382668,0.183094293561184,-0.274641440341776,-0.3051571559353067,-5.146678819098299,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.1567295,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8544400366188587,-0.061031431187061336,-0.274641440341776,-0.274641440341776,-6.355309760612148,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.309385,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,0.091547146780592,0.0,-0.183094293561184,0.3967043027158987,-7.112718483960826,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.364752,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.098565761367104,0.061031431187061336,0.24412572474824534,-0.21361000915471468,-6.258619285291039,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.4730732,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,0.274641440341776,-0.366188587122368,0.183094293561184,-5.458237017355202,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.5283718,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0680500457735733,0.0,-0.061031431187061336,-0.6713457430576747,-4.6739698286395495,106.59893798828125,1030.504150390625,0.0,0.0,0.0,0.0,0.0,
1623529198.6367698,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7934086054317974,0.0,-0.030515715593530668,0.24412572474824534,-1566.36481028444,115.40965270996094,1093.2774658203125,0.0,0.0,0.0,0.0,0.0,
1623529198.793792,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7018614586512053,0.0,-1.3121757705218187,-1.0680500457735733,26.836381739894826,115.40965270996094,1093.2774658203125,0.0,0.0,0.0,0.0,0.0,
1623529199.0437381,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,0.24412572474824534,0.0,0.366188587122368,-0.15257857796765334,-5.173537284465273,115.40965270996094,1093.2774658203125,0.0,0.0,0.0,0.0,0.0,
1623529199.2538457,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.098565761367104,0.061031431187061336,-0.183094293561184,-0.21361000915471468,-6.049123255428639,115.40965270996094,1093.2774658203125,0.0,0.0,0.0,0.0,0.0,
1623529199.3091211,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.21361000915471468,0.0,-0.061031431187061336,-0.45773573390296,-6.124326958456168,115.40965270996094,1093.2774658203125,0.0,0.0,0.0,0.0,0.0,
1623529199.5147934,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8544400366188587,0.0,-0.24412572474824534,0.9765028989929814,-6.226389126850671,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529199.6347587,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.4342386328959413,-0.12206286237412267,0.030515715593530668,0.15257857796765334,-5.748308443318526,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529199.690055,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.732377174244736,0.12206286237412267,0.91547146780592,-0.6713457430576747,-5.769795215612105,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529199.7984083,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0680500457735733,0.12206286237412267,0.0,-0.33567287152883735,-5.463608710428597,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529199.8538227,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8849557522123894,-0.21361000915471468,-0.6103143118706134,0.366188587122368,-5.614016116483653,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529199.9620752,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.732377174244736,-0.15257857796765334,0.0,0.030515715593530668,1360.1335761010916,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529200.070591,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0375343301800428,-0.21361000915471468,-0.24412572474824534,-0.24412572474824534,-6.989169543272744,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529200.1369295,69.14,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7934086054317974,-0.366188587122368,-0.366188587122368,-0.5797985962770826,-6.623894414281891,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
