UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.08,1629071320.5184102,-0.004266885683585286,-128.0065705075586
D,-0.08,1629071320.6273408,-0.004533628971835013,-136.00886915505038
D,-0.08,1629071320.7410278,-0.004767188012802549,-143.01564038407648
D,-0.08,1629071320.85411,-0.004634678848281747,-139.04036544845238
D,-0.08,1629071320.964483,-0.004874472613528901,-146.23417840586703
D,-0.08,1629071321.080328,-0.005077007779985269,-152.31023339955806
D,-0.08,1629071321.1968632,-0.005173008431586904,-155.19025294760712
D,-0.08,1629071321.3007987,-0.005401632006208316,-162.04896018624947
D,-0.08,1629071321.4258726,-0.005559174975970065,-166.77524927910196
D,-0.08,1629071321.5405655,-0.005750439792766571,-172.51319378299712
D,-0.08,1629071321.6508782,-0.0059438750965703615,-178.31625289711084
D,-0.08,1629071321.7694016,-0.006102980996786002,-183.08942990358005
D,-0.08,1629071321.8809533,-0.006319485187803337,-189.5845556341001
D,-0.08,1629071321.9925401,-0.006558849800386763,-196.7654940116029
D,-0.08,1629071322.1039286,-0.0067767827677519795,-203.30348303255937
D,-0.08,1629071322.2388294,-0.00697030446399053,-209.1091339197159
D,-0.08,1629071322.3525314,-0.007213786413586677,-216.4135924076003
D,-0.08,1629071322.4617121,-0.007434711087753665,-223.04133263260994
D,-0.08,1629071322.5751736,-0.007635493962777188,-229.06481888331564
D,-0.08,1629071322.6865764,-0.0078180634863717,-234.54190459115097
D,-0.08,1629071322.7913373,-0.0080296777251061,-240.89033175318303
D,-0.08,1629071322.8959446,-0.008244484269661522,-247.33452808984566
D,-0.08,1629071323.0170925,-0.008455519327894269,-253.66557983682807
D,-0.08,1629071323.1287577,-0.00875057250392416,-262.5171751177248
D,-0.08,1629071323.2404149,-0.008920881185082394,-267.62643555247183
D,-0.08,1629071323.35398,-0.009141361675706762,-274.2408502712029
D,-0.08,1629071323.4737968,-0.009327215797528206,-279.8164739258462
D,-0.08,1629071323.5913563,-0.009534072411904135,-286.0221723571241
D,-0.08,1629071323.7028632,-0.009756597383008991,-292.6979214902697
D,-0.08,1629071323.8142824,-0.010041342185628186,-301.2402655688456
D,-0.08,1629071323.9312794,-0.010164593258761267,-304.93779776283804
D,-0.08,1629071324.0621245,-0.010449362925544613,-313.4808877663384
D,-0.08,1629071324.1794474,-0.010597164761979508,-317.91494285938523
D,-0.08,1629071324.288605,-0.010893341461087792,-326.8002438326338
D,-0.08,1629071324.393192,-0.011055785340221764,-331.67356020665295
D,-0.08,1629071324.5179517,-0.011324665120406887,-339.7399536122066
D,-0.08,1629071324.62858,-0.011479313170988898,-344.37939512966693
