UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,0.0,1629072275.3766582,0.0021335744517311976,64.00723355193593
D,0.0,1629072275.4837205,0.0022669228549643972,68.00768564893193
D,0.0,1629072275.5907345,0.0023512160885101807,70.53648265530542
D,0.0,1629072275.698827,0.00250598848104664,75.17965443139919
D,0.0,1629072275.8348718,0.002622187424077913,78.6656227223374
D,0.0,1629072275.9463887,0.0024586508942920464,73.75952682876138
D,0.0,1629072276.0525868,0.0023167560206023836,69.50268061807151
D,0.0,1629072276.167322,0.002542947774675618,76.28843324026855
D,0.0,1629072276.2961566,0.002670764393049591,80.12293179148773
D,0.0,1629072276.4158187,0.0027398539628326053,82.19561888497816
D,0.0,1629072276.5239284,0.002833151395212963,84.99454185638888
D,0.0,1629072276.6358378,0.0029362775473967162,88.08832642190148
D,0.0,1629072276.7527432,0.0029865658055300867,89.59697416590261
D,0.0,1629072276.868492,0.0031454387482565778,94.36316244769733
D,0.0,1629072276.9810238,0.003248953104494738,97.46859313484214
D,0.0,1629072277.090557,0.003284418879144562,98.53256637433687
D,0.0,1629072277.2017753,0.003383680199033451,101.51040597100354
D,0.0,1629072277.313592,0.0034758031157275803,104.27409347182741
D,0.0,1629072277.4226947,0.00327087091332994,98.1261273998982
D,0.0,1629072277.5336716,0.003084623287438388,92.53869862315165
D,0.0,1629072277.6451,0.0031478243348205927,94.43473004461778
D,0.0,1629072277.756278,0.0028440572906379136,85.32171871913741
D,0.0,1629072277.8685803,0.002415807808635686,72.47423425907058
D,0.0,1629072277.9770525,0.0023145635957240547,69.43690787172164
D,0.0,1629072278.0891356,0.0022791321562842656,68.37396468852796
D,0.0,1629072278.200481,0.0022806387505358754,68.41916251607626
D,0.0,1629072278.308976,0.0023259590924817716,69.77877277445315
D,0.0,1629072278.4199233,0.0022780336915073558,68.34101074522067
D,0.0,1629072278.5325007,0.002279017997836301,68.37053993508903
D,0.0,1629072278.6411364,0.002393349178570709,71.80047535712126
D,0.0,1629072278.7536113,0.0024014176645499956,72.04252993649988
D,0.0,1629072278.8656564,0.0023690280816667892,71.07084245000368
D,0.0,1629072278.9742506,0.0024310469574478147,72.93140872343444
D,0.0,1629072279.0862467,0.002440116752817298,73.20350258451893
D,0.0,1629072279.198375,0.002437835003685794,73.13505011057381
D,0.0,1629072279.3109572,0.002476186285656611,74.28558856969833
D,0.0,1629072279.4241056,0.0024582135632400886,73.74640689720266
D,0.0,1629072279.53465,0.0024545965944461523,73.63789783338456
D,0.0,1629072279.663686,0.00243098455317234,72.9295365951702
D,0.0,1629072279.766371,0.0024408188162328244,73.22456448698473
D,0.0,1629072279.8736682,0.002387394923093553,71.6218476928066
D,0.0,1629072279.9825692,0.0024575652411640923,73.72695723492276
D,0.0,1629072280.0945134,0.002464105423901144,73.92316271703432
