pos_0_m, torque_0_Percent,pos_1_m, torque_1_Percent,pos_2_m, torque_2_Percent,pos_3_m, torque_3_Percent,
-0.0301025,4.028074458346048,2.6250000000000003e-06,3.112602990540128,-0.05933,-3.967043027158987,0.12455,-1.007018614586512,
-0.0301025,3.5093072932560263,2.6250000000000003e-06,3.112602990540128,-0.05933,-3.417760146475435,0.12455,-1.9530057979859627,
-0.0301025,3.7839487335978026,2.6250000000000003e-06,3.7229173024107416,-0.05933,-2.502288678669515,0.12454,-2.1666158071406776,
-0.0301025,4.11962160512664,2.6250000000000003e-06,3.3262129996948433,-0.05933,-3.1736344217271895,0.12454,-0.42722001830942935,
-0.0301025,4.241684467500763,2.6250000000000003e-06,3.295697284101312,-0.05933,-3.051571559353067,0.12455,-0.3051571559353067,
-0.0301025,3.631370155630149,2.6250000000000003e-06,3.1736344217271895,-0.05933,-3.1736344217271895,0.12455,-1.6173329264571255,
-0.0301025,4.516325907842539,2.6250000000000003e-06,3.112602990540128,-0.05933,-3.3567287152883734,0.12454,-2.2581629539212695,
-0.0301025,4.180653036313702,2.6250000000000003e-06,3.4482758620689657,-0.05933,-3.6008544400366187,0.12454,-1.1290814769606348,
-0.0301025,4.5773573390296,2.6250000000000003e-06,3.0820872749465975,-0.05933,-2.2581629539212695,0.12454,0.091547146780592,
-0.0301025,4.241684467500763,2.6250000000000003e-06,2.960024412572475,-0.05933,-1.8004272200183093,0.12455,-1.098565761367104,
-0.0301025,4.302715898687825,2.6250000000000003e-06,3.3262129996948433,-0.05932,-3.3262129996948433,0.12454,-0.5797985962770826,
-0.0301025,3.1736344217271895,2.6250000000000003e-06,3.5093072932560263,-0.05932,-2.471772963075984,0.12455,-0.3051571559353067,
-0.0301025,4.241684467500763,2.6250000000000003e-06,3.417760146475435,-0.05933,-4.180653036313702,0.12455,-1.2816600549282882,
-0.0301025,4.516325907842539,2.6250000000000003e-06,3.1431187061336585,-0.05933,-4.241684467500763,0.12454,-1.8614586512053708,
-0.0301025,4.272200183094293,2.6250000000000003e-06,3.7839487335978026,-0.05933,-3.112602990540128,0.12454,-0.274641440341776,
-0.0301025,4.272200183094293,2.6250000000000003e-06,3.112602990540128,-0.05933,-3.0820872749465975,0.12455,-0.549282880683552,
-0.0301025,4.394263045468416,2.6250000000000003e-06,3.2041501373207204,-0.05933,-2.898992981385413,0.12455,-1.556301495270064,
-0.0301025,3.997558742752517,2.6250000000000003e-06,3.1736344217271895,-0.05933,-3.051571559353067,0.12454,-1.6783643576441867,
-0.0301025,3.9060115959719255,2.6250000000000003e-06,3.3567287152883734,-0.05933,-3.112602990540128,0.12454,-0.091547146780592,
-0.0301025,3.1431187061336585,2.6250000000000003e-06,2.9905401281660056,-0.05933,-3.4787915776624962,0.12455,-0.732377174244736,
-0.0301025,3.3262129996948433,2.6250000000000003e-06,3.2651815685077814,-0.05933,-3.4787915776624962,0.12454,-2.593835825450107,
-0.0301025,3.570338724443088,2.6250000000000003e-06,3.2041501373207204,-0.05933,-2.8074458346048212,0.12454,-0.42722001830942935,
-0.0301025,2.898992981385413,2.6250000000000003e-06,3.2041501373207204,-0.05933,-3.66188587122368,0.12454,0.091547146780592,
-0.0301025,3.2041501373207204,2.6250000000000003e-06,2.960024412572475,-0.05933,-3.5093072932560263,0.12455,-1.3426914861153494,
-0.0301025,2.7158986878242297,2.6250000000000003e-06,3.2651815685077814,-0.05933,-3.0210558437595356,0.12455,-2.593835825450107,
-0.0301025,3.051571559353067,2.6250000000000003e-06,3.2041501373207204,-0.05933,-3.570338724443088,0.12454,-0.274641440341776,
-0.0301025,3.0210558437595356,2.6250000000000003e-06,3.295697284101312,-0.05933,-4.058590173939579,0.12454,0.091547146780592,
-0.0301025,3.112602990540128,2.6250000000000003e-06,3.5398230088495577,-0.05933,-4.058590173939579,0.12455,-1.8004272200183093,
-0.0301025,2.8379615501983526,2.6250000000000003e-06,3.051571559353067,-0.05933,-3.9060115959719255,0.12454,-1.2511443393347574,
-0.0301025,2.2276472383277386,2.6250000000000003e-06,2.960024412572475,-0.05933,-3.5398230088495577,0.12454,-0.061031431187061336,
-0.0301025,3.1736344217271895,2.6250000000000003e-06,3.387244430881904,-0.05933,-2.898992981385413,0.12455,-1.1595971925541653,
-0.0301025,2.5633201098565763,2.6250000000000003e-06,3.0820872749465975,-0.05933,-2.7158986878242297,0.12454,-2.471772963075984,
-0.0301025,3.1431187061336585,2.6250000000000003e-06,3.051571559353067,-0.05933,-3.112602990540128,0.12454,-0.15257857796765334,
-0.0301025,2.74641440341776,2.6250000000000003e-06,3.1736344217271895,-0.05933,-3.2041501373207204,0.12455,-1.1595971925541653,
-0.0301025,3.631370155630149,2.6250000000000003e-06,2.8684772657918827,-0.05933,-3.814464449191334,0.12454,-2.105584375953616,
-0.0301025,3.2651815685077814,2.6250000000000003e-06,3.1431187061336585,-0.05933,-2.7769301190112907,0.12454,0.3051571559353067,
-0.0301025,2.8684772657918827,2.6250000000000003e-06,3.0820872749465975,-0.05933,-3.2041501373207204,0.12455,-0.3051571559353067,
-0.0301025,4.089105889533109,2.6250000000000003e-06,3.0210558437595356,-0.05933,-3.66188587122368,0.12454,-1.8614586512053708,
-0.0301025,4.455294476655477,2.6250000000000003e-06,3.5398230088495577,-0.05933,-2.5633201098565763,0.12454,0.24412572474824534,
-0.0301025,4.424778761061948,2.6250000000000003e-06,3.234665852914251,-0.05933,-3.0210558437595356,0.12455,-0.42722001830942935,
-0.0301025,5.157155935306683,2.6250000000000003e-06,3.417760146475435,-0.05932,-3.570338724443088,0.12455,-1.8919743667989013,
-0.0301025,4.180653036313702,2.6250000000000003e-06,2.8379615501983526,-0.05933,-3.9365273115654564,0.12455,-2.2581629539212695,
-0.0301025,3.8754958803783945,2.6250000000000003e-06,3.0820872749465975,-0.05933,-4.943545926151968,0.12454,0.15257857796765334,
