time_s,active_power_W,current_mA,
0.0,0.0,0.0,
1631378693.639149,39.44304275512695,530.80224609375,
1631378693.7477946,39.44304275512695,530.80224609375,
1631378693.852954,39.44304275512695,530.80224609375,
1631378693.958109,39.44304275512695,530.80224609375,
1631378694.0632637,39.44304275512695,530.80224609375,
1631378694.1684418,39.44304275512695,530.80224609375,
1631378694.2736025,39.44304275512695,530.80224609375,
1631378694.378763,39.314273834228516,523.5923461914062,
1631378694.4839337,39.314273834228516,523.5923461914062,
1631378694.5891218,39.314273834228516,523.5923461914062,
1631378694.6942823,39.314273834228516,523.5923461914062,
1631378694.7994378,39.314273834228516,523.5923461914062,
1631378694.9046116,39.314273834228516,523.5923461914062,
1631378695.0097668,39.314273834228516,523.5923461914062,
1631378695.1149263,39.314273834228516,523.5923461914062,
1631378695.2200847,39.68648147583008,523.7927856445312,
1631378695.3252416,39.68648147583008,523.7927856445312,
1631378695.4303997,39.68648147583008,523.7927856445312,
1631378695.5355623,39.68648147583008,523.7927856445312,
1631378695.6407213,39.68648147583008,523.7927856445312,
1631378695.7458766,39.68648147583008,523.7927856445312,
1631378695.851039,39.68648147583008,523.7927856445312,
1631378695.956197,39.68648147583008,523.7927856445312,
1631378696.06136,39.57329177856445,523.265625,
1631378696.1665215,39.57329177856445,523.265625,
1631378696.2716823,39.57329177856445,523.265625,
1631378696.3768413,39.57329177856445,523.265625,
1631378696.4820027,39.57329177856445,523.265625,
1631378696.5871673,39.57329177856445,523.265625,
1631378696.6923273,39.57329177856445,523.265625,
1631378696.7974894,39.57329177856445,523.265625,
1631378696.9026475,39.61408996582031,522.3561401367188,
1631378697.0078084,39.61408996582031,522.3561401367188,
1631378697.1130042,39.61408996582031,522.3561401367188,
1631378697.218168,39.61408996582031,522.3561401367188,
1631378697.3233435,39.61408996582031,522.3561401367188,
1631378697.4285066,39.61408996582031,522.3561401367188,
1631378697.5336664,39.61408996582031,522.3561401367188,
1631378697.638826,39.61408996582031,522.3561401367188,
1631378697.7439833,40.378379821777344,524.4105224609375,
1631378697.8491423,40.378379821777344,524.4105224609375,
1631378697.9543016,40.378379821777344,524.4105224609375,
1631378698.0594654,40.378379821777344,524.4105224609375,
1631378698.164629,40.378379821777344,524.4105224609375,
1631378698.2697911,40.378379821777344,524.4105224609375,
1631378698.3749502,40.378379821777344,524.4105224609375,
1631378698.4801126,40.378379821777344,524.4105224609375,
1631378698.5852833,39.50197219848633,525.3030395507812,
1631378698.6904578,39.50197219848633,525.3030395507812,
1631378698.7956161,39.50197219848633,525.3030395507812,
1631378698.9007757,39.50197219848633,525.3030395507812,
1631378699.0059333,39.50197219848633,525.3030395507812,
1631378699.1110935,39.50197219848633,525.3030395507812,
1631378699.2162542,39.50197219848633,525.3030395507812,
1631378699.3214154,39.50197219848633,525.3030395507812,
1631378699.4265969,39.75051498413086,526.1104736328125,
1631378699.5317643,39.75051498413086,526.1104736328125,
1631378699.6369228,39.75051498413086,526.1104736328125,
1631378699.7420783,39.75051498413086,526.1104736328125,
1631378699.8472362,39.75051498413086,526.1104736328125,
1631378699.9524078,39.75051498413086,526.1104736328125,
1631378700.0549858,39.75051498413086,526.1104736328125,
1631378700.1601622,39.75051498413086,526.1104736328125,
1631378700.2654114,39.438350677490234,518.3644409179688,
1631378700.3705845,39.438350677490234,518.3644409179688,
1631378700.4758403,39.438350677490234,518.3644409179688,
1631378700.5810452,39.438350677490234,518.3644409179688,
1631378700.6862276,39.438350677490234,518.3644409179688,
1631378700.7863185,39.438350677490234,518.3644409179688,
1631378700.8915691,39.438350677490234,518.3644409179688,
1631378700.9968047,39.438350677490234,518.3644409179688,
1631378701.1121979,40.16904067993164,525.2451171875,
1631378701.2173607,40.16904067993164,525.2451171875,
1631378701.3225236,40.16904067993164,525.2451171875,
1631378701.4276934,40.16904067993164,525.2451171875,
1631378701.532859,40.16904067993164,525.2451171875,
1631378701.6380167,40.16904067993164,525.2451171875,
1631378701.7431738,40.16904067993164,525.2451171875,
1631378701.8483331,40.16904067993164,525.2451171875,
1631378701.9534981,39.233009338378906,525.9476318359375,
1631378702.0586536,39.233009338378906,525.9476318359375,
1631378702.163817,39.233009338378906,525.9476318359375,
1631378702.2689774,39.233009338378906,525.9476318359375,
1631378702.3741343,39.233009338378906,525.9476318359375,
1631378702.4792986,39.233009338378906,525.9476318359375,
1631378702.5844507,39.233009338378906,525.9476318359375,
1631378702.6896105,39.233009338378906,525.9476318359375,
1631378702.7947683,39.33823013305664,525.1231689453125,
1631378702.8999226,39.33823013305664,525.1231689453125,
1631378703.0050833,39.33823013305664,525.1231689453125,
1631378703.1102479,39.33823013305664,525.1231689453125,
1631378703.2154083,39.33823013305664,525.1231689453125,
1631378703.3205774,39.33823013305664,525.1231689453125,
1631378703.425745,39.33823013305664,525.1231689453125,
1631378703.5309095,39.33823013305664,525.1231689453125,
1631378703.6360729,39.41354751586914,525.3363037109375,
1631378703.7412257,39.41354751586914,525.3363037109375,
1631378703.84639,39.41354751586914,525.3363037109375,
1631378703.95156,39.41354751586914,525.3363037109375,
1631378704.0567186,39.41354751586914,525.3363037109375,
1631378704.1618817,39.41354751586914,525.3363037109375,
1631378704.2670448,39.41354751586914,525.3363037109375,
1631378704.3722067,38.90882110595703,512.8663940429688,
1631378704.4773598,38.90882110595703,512.8663940429688,
1631378704.5825152,38.90882110595703,512.8663940429688,
1631378704.6877072,38.90882110595703,512.8663940429688,
1631378704.7921758,38.90882110595703,512.8663940429688,
1631378704.896036,38.90882110595703,512.8663940429688,
