time_s,wob_N
1626701228.357765,-0.001762
1626701228.488580,-0.048059
1626701228.630281,0.001451
1626701228.783152,0.002979
1626701228.924846,-0.008714
1626701229.066619,0.003506
1626701229.208363,-0.008029
1626701229.350108,0.000977
1626701229.481011,-0.000971
1626701229.622731,-0.003078
1626701229.764561,-0.032574
1626701229.906363,0.002452
1626701230.048168,-0.009820
1626701230.201037,-0.001656
1626701230.342772,-0.006923
1626701230.495566,-0.005343
1626701230.637273,-0.010558
1626701230.779161,-0.008135
1626701230.931993,-0.005817
1626701231.073734,0.009773
1626701231.215440,-0.011137
1626701231.357169,-0.014929
1626701231.498868,0.000240
1626701231.640589,-0.006028
1626701231.782293,-0.003131
1626701231.923991,0.011986
1626701232.065763,-0.015825
1626701232.207477,-0.003342
1626701232.349200,0.007877
1626701232.490912,0.008562
1626701232.643686,0.024152
1626701232.785428,-0.010558
1626701232.927172,0.001030
1626701233.068872,0.009036
1626701233.210626,-0.008082
1626701233.352354,0.009615
1626701233.494055,-0.013033
1626701233.635825,0.005981
1626701233.777531,-0.017668
1626701233.919221,-0.006923
1626701234.060920,-0.007713
1626701234.213739,-0.000392
1626701234.355453,-0.008187
1626701234.497155,-0.017141
1626701234.638883,-0.009188
1626701234.791688,-0.013402
1626701234.933402,0.003716
1626701235.086281,-0.012085
1626701235.228040,0.009826
1626701235.369740,0.006192
1626701235.511440,-0.021460
1626701235.653176,0.023415
1626701235.794883,0.001925
1626701235.936577,0.010774
1626701236.078346,0.005823
1626701236.220088,0.009141
1626701236.372877,-0.016457
1626701236.514594,0.015883
1626701236.656346,-0.011348
1626701236.809177,0.002663
1626701236.950881,0.002821
1626701237.092609,-0.016773
1626701237.234299,-0.021355
1626701237.376293,0.007614
1626701237.529052,-0.000392
1626701237.670742,-0.003605
1626701237.812421,-0.013928
1626701237.954095,-0.001867
1626701238.095769,0.015620
1626701238.248512,-0.028676
1626701238.390202,-0.009557
1626701238.531868,-0.007924
1626701238.673942,-0.038736
1626701238.815669,0.017358
1626701238.957666,-0.002815
1626701239.088600,-0.006871
1626701239.230383,-0.005923
1626701239.383245,0.003927
1626701239.524977,-0.000550
1626701239.666632,0.003664
1626701239.819676,-0.005659
1626701239.961640,-0.009767
1626701240.103344,-0.004869
1626701240.245061,0.001925
1626701240.386955,-0.000761
1626701240.528662,0.006402
1626701240.670328,0.002347
1626701240.823142,-0.003605
1626701240.964852,-0.013876
1626701241.106687,0.000872
1626701241.248561,0.010037
1626701241.379188,0.003190
1626701241.520892,-0.003500
1626701241.662581,-0.014244
1626701241.804280,-0.005659
1626701241.945960,0.002873
1626701242.087724,0.011617
1626701242.229429,-0.017405
1626701242.371207,-0.010294
1626701242.512883,-0.015140
1626701242.654575,-0.016825
1626701242.807591,-0.020302
1626701242.960404,-0.017089
1626701243.113261,-0.012770
1626701243.255056,-0.007292
1626701243.396913,-0.006818
1626701243.538627,-0.001498
1626701243.669307,-0.003500
1626701243.811006,0.010142
1626701243.952719,0.004243
1626701244.094420,-0.011822
1626701244.236127,-0.013191
1626701244.377798,-0.005501
1626701244.519483,0.017516
1626701244.661162,-0.013244
1626701244.802873,0.009141
1626701244.933686,-0.029993
1626701245.075555,-0.003394
1626701245.217410,-0.015456
1626701245.359156,-0.010294
1626701245.500838,-0.018458
1626701245.642528,-0.013454
1626701245.795305,-0.003447
1626701245.936961,0.004612
1626701246.078766,-0.004290
1626701246.220690,-0.036735
1626701246.362570,-0.014719
1626701246.504464,-0.007239
1626701246.646359,-0.007450
1626701246.788313,-0.001446
1626701246.930021,-0.002657
1626701247.071686,-0.002657
1626701247.213528,-0.000023
1626701247.355329,-0.000813
1626701247.497014,0.000398
1626701247.638690,-0.004290
1626701247.780636,-0.010768
1626701247.922327,-0.006871
1626701248.064081,0.006929
1626701248.205751,-0.005448
1626701248.347432,-0.004026
1626701248.489096,0.006350
1626701248.630777,0.002347
1626701248.761389,-0.015877
1626701248.903052,-0.011506
1626701249.044713,-0.005185
1626701249.186398,-0.002920
1626701249.328105,-0.011084
1626701249.469759,-0.000708
1626701249.611796,0.016199
1626701249.753562,-0.014877
1626701249.895248,-0.005607
1626701250.036949,-0.016404
1626701250.178631,-0.022935
1626701250.320302,-0.011242
1626701250.462003,-0.007029
1626701250.603672,0.001504
1626701250.745335,-0.010716
1626701250.887019,0.003558
1626701251.028693,-0.015614
1626701251.170342,-0.004764
1626701251.312019,-0.007187
1626701251.453725,-0.008187
1626701251.595382,0.005349
1626701251.737095,-0.024568
1626701251.878793,0.000451
1626701252.020558,-0.017299
1626701252.162247,-0.009662
1626701252.303947,-0.005238
1626701252.445652,-0.005975
1626701252.587323,-0.004974
1626701252.729058,-0.020196
1626701252.859869,-0.030098
1626701253.001556,0.001030
1626701253.143210,-0.010663
1626701253.284910,-0.000023
1626701253.426609,-0.010926
1626701253.568247,-0.015561
1626701253.709903,-0.024831
1626701253.840794,-0.039842
1626701253.982523,-0.005027
1626701254.124233,-0.014297
1626701254.265915,-0.000129
1626701254.407594,-0.003763
1626701254.549262,-0.020565
1626701254.690922,-0.008556
1626701254.832569,-0.012875
1626701254.974254,-0.012348
1626701255.115924,0.000609
1626701255.257583,0.002505
1626701255.399257,-0.017247
1626701255.540926,-0.011190
1626701255.682633,-0.014086
1626701255.824379,-0.009873
1626701255.966061,0.005086
1626701256.107733,-0.017615
1626701256.249412,-0.010136
1626701256.391103,0.014198
1626701256.521725,-0.005027
1626701256.663784,-0.015930
1626701256.805527,-0.000445
1626701256.947259,-0.008819
1626701257.088983,-0.014877
1626701257.230660,-0.006028
1626701257.361574,-0.003447
1626701257.503286,-0.010294
1626701257.644953,0.003348
1626701257.786666,-0.015298
1626701257.917288,0.011880
1626701258.058957,-0.011716
1626701258.200625,-0.002762
1626701258.342307,-0.007029
1626701258.483989,-0.015719
1626701258.625680,0.002189
1626701258.767361,-0.021039
1626701258.909160,-0.017721
1626701259.050871,-0.016825
1626701259.192536,-0.006186
1626701259.334219,-0.018300
1626701259.475958,-0.004026
1626701259.617636,-0.024252
1626701259.759608,-0.001498
1626701259.901366,-0.014455
1626701260.043060,-0.011927
1626701260.184758,-0.011242
1626701260.316443,-0.045794
1626701260.436147,-0.012454
1626701260.577803,-0.002288
1626701260.719580,-0.010189
1626701260.861249,-0.008240
1626701261.014051,-0.014403
1626701261.155730,-0.022356
1626701261.297412,-0.017984
1626701261.439129,-0.026885
1626701261.580805,-0.007555
1626701261.722509,-0.013770
1626701261.864178,-0.026253
1626701262.005858,-0.010189
1626701262.136522,-0.008082
1626701262.289251,-0.010821
1626701262.430963,-0.014929
1626701262.572642,-0.014666
1626701262.714668,0.007034
