time_s,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g
1626701424.766536,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.791209,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.815554,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.8399782,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.8646588,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.8892019,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.9137712,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.9381745,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.9625604,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701424.9871697,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.011652,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.0363712,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.0609102,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.0852625,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.1097043,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.1340973,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.1588233,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.18375,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.2080975,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.2322834,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.2569087,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.281718,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.3074515,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.3318913,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.3563647,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.3807936,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.4054074,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.4299302,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.454216,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.4789126,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.5034535,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.528032,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.552479,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.5770075,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.601471,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.6257482,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.6499813,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.6744692,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.6989274,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.7234855,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.7479632,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.7724087,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.7968616,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.8213043,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.8457139,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.8701851,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.8947134,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.9191363,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.9434953,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.9681218,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701425.9925222,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.017092,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.0415983,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.066131,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.090755,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.1153626,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.1397653,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.164424,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.1888738,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.213282,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.2378855,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.2625327,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.2871895,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.3118608,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.336482,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.3609612,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.3854556,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.4098418,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.4344606,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.4594977,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.483912,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.5082445,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.5326164,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.5569868,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.5814052,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.6058419,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.6299942,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.6543646,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.6788368,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.7033627,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.727762,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.7521775,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.7764456,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.8010018,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.8253987,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.8498235,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.8743439,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.8987927,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.923347,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.947735,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.9723673,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701426.997029,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701427.0217142,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701427.0458565,0.000000,0.000000,0.000000,0.000000,0.000000,
