time_s,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g
1626701365.398737,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701366.4106212,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701367.4224145,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701368.4344695,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701369.4466178,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701370.4586976,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701371.4703841,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701372.4826784,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701373.4945116,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701374.5064113,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701375.5252655,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701376.5375514,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701377.5497947,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701378.5622823,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701379.57403,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701380.5855944,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701381.597014,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701382.6090877,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701383.626699,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701384.6385422,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701385.6507387,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701386.6629696,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701387.6749685,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701388.686688,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701389.698665,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701390.7107422,0.000000,0.000000,0.000000,0.000000,0.000000,
1626701391.7226262,0.000000,0.000000,0.000000,0.000000,0.000000,
