Time [s], CPU Temperature [degC], PWM command, Current [mA], Active Power [W]
1626701346.046857, 38.459, 0.0, 751.9718627929688, 60.39356994628906
1626701346.1061647, 38.946, 0.0, 751.9718627929688, 60.39356994628906
1626701346.168765, 37.972, 0.0, 751.9718627929688, 60.39356994628906
1626701346.2357512, 38.459, 0.0, 751.9718627929688, 60.39356994628906
1626701346.2972248, 37.972, 0.0, 751.9718627929688, 60.39356994628906
1626701346.3606799, 38.946, 0.0, 751.9718627929688, 60.39356994628906
1626701346.4245696, 38.459, 0.0, 751.9718627929688, 60.39356994628906
1626701346.4879808, 37.485, 0.0, 751.9718627929688, 60.39356994628906
1626701346.5528362, 37.972, 0.0, 751.9718627929688, 60.39356994628906
1626701346.6176217, 37.972, 0.0, 751.9718627929688, 60.39356994628906
1626701346.682136, 38.946, 0.0, 751.9718627929688, 60.39356994628906
1626701346.746213, 37.972, 0.0, 751.9718627929688, 60.39356994628906
1626701346.8098667, 38.946, 0.0, 745.1076049804688, 60.7983283996582
1626701346.8726387, 38.946, 0.0, 745.1076049804688, 60.7983283996582
1626701346.9366615, 38.459, 0.0, 745.1076049804688, 60.7983283996582
1626701347.0013475, 39.433, 0.0, 745.1076049804688, 60.7983283996582
1626701347.0651865, 38.459, 0.0, 745.1076049804688, 60.7983283996582
1626701347.1283872, 36.998, 0.0, 745.1076049804688, 60.7983283996582
1626701347.1931384, 37.972, 0.0, 745.1076049804688, 60.7983283996582
1626701347.2556944, 37.972, 0.0, 745.1076049804688, 60.7983283996582
1626701347.3213272, 37.972, 0.0, 745.1076049804688, 60.7983283996582
1626701347.3847892, 39.433, 0.0, 745.1076049804688, 60.7983283996582
1626701347.4485528, 37.485, 0.0, 745.1076049804688, 60.7983283996582
1626701347.513732, 38.946, 0.0, 745.1076049804688, 60.7983283996582
1626701347.5780118, 38.459, 0.0, 745.1076049804688, 60.7983283996582
1626701347.6413524, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701347.7044718, 37.972, 0.0, 732.0692749023438, 60.36332321166992
1626701347.769386, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701347.8335588, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701347.8969388, 39.92, 0.0, 732.0692749023438, 60.36332321166992
1626701347.9608095, 37.972, 0.0, 732.0692749023438, 60.36332321166992
1626701348.0242765, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701348.0887175, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701348.153396, 37.485, 0.0, 732.0692749023438, 60.36332321166992
1626701348.2161508, 37.972, 0.0, 732.0692749023438, 60.36332321166992
1626701348.2805285, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701348.3444867, 38.946, 0.0, 732.0692749023438, 60.36332321166992
1626701348.4087048, 38.459, 0.0, 732.0692749023438, 60.36332321166992
1626701348.4751933, 38.946, 0.0, 755.2977905273438, 60.43364715576172
1626701348.537711, 37.485, 0.0, 755.2977905273438, 60.43364715576172
1626701348.6011517, 38.459, 0.0, 755.2977905273438, 60.43364715576172
1626701348.6631079, 38.459, 0.0, 755.2977905273438, 60.43364715576172
1626701348.7280433, 39.433, 0.0, 755.2977905273438, 60.43364715576172
1626701348.7912176, 38.459, 0.0, 755.2977905273438, 60.43364715576172
1626701348.856906, 37.972, 0.0, 755.2977905273438, 60.43364715576172
1626701348.9193194, 37.485, 0.0, 755.2977905273438, 60.43364715576172
1626701348.9836712, 37.972, 0.0, 755.2977905273438, 60.43364715576172
1626701349.048156, 39.433, 0.0, 755.2977905273438, 60.43364715576172
1626701349.1120565, 37.485, 0.0, 755.2977905273438, 60.43364715576172
