time_s,Gx_deg_p_sec,Gy_deg_p_sec,Gz_deg_p_sec,Ax_g,Ay_g,Az_g,
1631999051.8287191,-0.022900763358778626,0.09923664122137404,0.10687022900763359,-0.102456901001342,-0.03225972953442758,0.9933415918240941,
1631999051.8287191,-0.022900763358778626,0.09923664122137404,0.10687022900763359,-0.102456901001342,-0.03225972953442758,0.9933415918240941,
1631999052.0290804,-0.007633587786259542,0.0916030534351145,0.09923664122137404,-0.10168266749251574,-0.033292040879529264,0.9930835139878187,
1631999052.1292396,1.9389312977099236,0.12213740458015267,0.08396946564885496,-0.1272323732837824,-0.04284092082171983,0.9943739031691958,
1631999052.2294128,-0.007633587786259542,0.0916030534351145,0.09923664122137404,-0.11097346959843088,-0.033292040879529264,0.9752761432848146,
1631999052.329635,-0.015267175572519083,0.08396946564885496,0.10687022900763359,-0.11536079281511304,-0.026065861463817487,0.9861154124083823,
1631999052.4297793,-1.9465648854961832,0.11450381679389313,0.10687022900763359,-0.11174770310725714,-0.06142252503355011,0.9879219572623102,
1631999052.5299518,1.9236641221374047,0.09923664122137404,0.10687022900763359,-0.10890884690822751,-0.04284092082171983,0.9974708372045008,
1631999052.6301088,0.007633587786259542,0.11450381679389313,0.12213740458015267,-0.10839269123567667,-0.03406627438835553,0.9964385258593992,
1631999052.7302783,0.0,0.09923664122137404,0.11450381679389313,-0.09987612263858779,-0.03096934035305048,1.0041808609476617,
1631999052.8304121,-0.030534351145038167,0.07633587786259542,0.09923664122137404,-0.09781149994838442,-0.004903478889232992,0.9972127593682254,
1631999052.9305663,-1.9389312977099236,0.09923664122137404,0.10687022900763359,-0.10142458965624032,-0.01987199339320739,0.9987612263858779,
1631999053.0307345,1.9389312977099236,0.09923664122137404,0.09923664122137404,-0.1138123257974605,-0.03174357386187674,0.9982450707133271,
1631999053.1308951,-0.030534351145038167,0.06870229007633588,0.11450381679389313,-0.10529575720037163,-0.04697016620212656,0.9938577474966449,
1631999053.2310495,1.9389312977099236,0.09923664122137404,0.0916030534351145,-0.1225869722308248,-0.021936616083410757,1.0054712501290388,
1631999053.3312206,0.0,0.0916030534351145,0.10687022900763359,-0.10400536801899453,-0.02451739444616496,1.0065035614741407,
1631999053.431637,0.015267175572519083,0.09923664122137404,0.08396946564885496,-0.107360379890575,-0.033033963043253844,0.9886961907711366,
1631999053.5318053,-0.022900763358778626,0.10687022900763359,0.11450381679389313,-0.1112315474347063,-0.01212965830494477,0.9925673583152679,
1631999053.6319604,-1.9389312977099236,0.10687022900763359,0.09923664122137404,-0.10916692474450293,-0.024775472282440383,0.9884381129348611,
1631999053.7323465,-0.022900763358778626,0.10687022900763359,0.10687022900763359,-0.1063280685454733,-0.03638897491483431,0.9979869928770517,
1631999053.832543,-0.05343511450381679,0.10687022900763359,0.12213740458015267,-0.09729534427583358,-0.033292040879529264,1.0046970166202127,
1631999053.9327164,-1.9312977099236641,0.0916030534351145,0.06870229007633588,-0.10374729018271911,-0.0487767110560545,0.9956642923505729,
1631999054.0328877,0.0,0.0916030534351145,0.0916030534351145,-0.12155466088572313,-0.017549292866728603,0.9992773820584288,
1631999054.133062,-1.9541984732824427,0.08396946564885496,0.11450381679389313,-0.11845772685041808,-0.04826055538350366,0.9995354598947042,
1631999054.2332296,-0.061068702290076333,0.09923664122137404,0.09923664122137404,-0.0849076081346134,-0.04387323216682151,1.0023743160937337,
1631999054.3333805,1.916030534351145,0.07633587786259542,0.11450381679389313,-0.10581191287292246,-0.02838856199029627,0.9972127593682254,
1631999054.4335523,-1.9465648854961832,0.09923664122137404,0.09923664122137404,-0.11174770310725714,-0.03225972953442758,0.9750180654485392,
1631999054.5337148,-1.9312977099236641,0.11450381679389313,0.07633587786259542,-0.10658614638174874,-0.033292040879529264,0.9977289150407762,
1631999054.6338775,-0.015267175572519083,0.08396946564885496,0.12213740458015267,-0.10297305667389284,-0.029678951171673375,1.000051615567255,
1631999054.7340243,-0.030534351145038167,0.11450381679389313,0.12213740458015267,-0.11252193661608341,-0.0387116754413131,0.992051202642717,
1631999054.834194,1.9465648854961832,0.08396946564885496,0.11450381679389313,-0.1225869722308248,-0.04851863321977908,1.0059874058015896,
1631999054.9343479,-1.9389312977099236,0.10687022900763359,0.12213740458015267,-0.11303809228863425,-0.00774233508826262,0.9830184783730773,
