time_s,wob_n,
0.0,0.0,
1631999807.5241363,-0.01624989818358823,
1631999807.6242537,0.0011607070131210648,
1631999807.7243762,0.00876639244115723,
1631999807.8244917,-0.004978822187823792,
1631999808.0247083,-0.008002769406199617,
1631999808.1248138,0.009316201026316471,
1631999808.2249393,-0.01909057587357764,
1631999808.3252258,-0.006719882707494721,
1631999808.4253538,-0.0036959354891188964,
1631999808.5255923,-0.004062474545891723,
1631999808.6257243,0.003543210882144442,
1631999808.7258444,-0.007727865113619996,
1631999808.8259556,-0.008002769406199617,
1631999808.9260876,-0.00791113464200641,
1631999809.0262053,-0.02770424370773908,
1631999809.1263423,-0.0026879530829936214,
1631999809.2265255,-0.010660177567802614,
1631999809.326646,-0.010018734218450166,
1631999809.4267895,-0.002962857375573242,
1631999809.5269015,-0.0185407672884184,
1631999809.6270096,-0.0011301620917091055,
1631999809.727123,-0.010843447096189028,
1631999809.827245,-0.009743829925870546,
1631999809.927353,-0.01505864624907654,
1631999810.027457,-0.012126333794893923,
1631999810.1277132,-0.0047039178952441715,
1631999810.227831,-0.017441150118099918,
1631999810.327944,-0.017257880589713503,
1631999810.4281964,-0.003237761668152862,
1631999810.5283198,-0.013409220493598818,
1631999810.628447,-0.019273845401964054,
1631999810.7285962,-0.020923271157441775,
1631999810.8287323,-0.022114523091953466,
1631999810.928849,-0.009743829925870546,
1631999811.0289629,-0.0145088376639173,
1631999811.129096,-0.023305775026465154,
1631999811.229252,-0.011851429502314303,
1631999811.329394,-0.019273845401964054,
1631999811.4295208,-0.017349515353906712,
1631999811.4295208,-0.017349515353906712,
1631999811.6297495,-0.02541337460290891,
1631999811.7298748,-0.013409220493598818,
1631999811.8299835,-0.015516820070042575,
1631999811.9301007,-0.02028182780808933,
1631999812.030219,-0.01707461106132709,
1631999812.1303434,-0.02972020851998963,
1631999812.23048,-0.025596644131295324,
1631999812.3305929,-0.02852895658547794,
1631999812.4307072,-0.020923271157441775,
1631999812.5308192,-0.03851714588253748,
1631999812.630927,-0.02055673210066895,
1631999812.7310443,-0.02083163639324857,
1631999812.8311675,-0.023672314083237982,
1631999812.9313836,-0.03375213814449073,
1631999813.0315049,-0.023305775026465154,
1631999813.1316206,-0.03549319866416166,
1631999813.2317564,-0.030270017105148872,
1631999813.3318884,-0.027979148000318702,
1631999813.4319987,-0.0387920501751171,
1631999813.5321374,-0.02742933941515946,
1631999813.632254,-0.03292742526675187,
1631999813.7323604,-0.0320110776248198,
1631999813.832469,-0.02972020851998963,
1631999813.9325883,-0.03421031196545676,
1631999814.0326982,-0.03118636474708094,
1631999814.132805,-0.033110694795138285,
1631999814.232932,-0.0359513724851277,
1631999814.3333,-0.029262034699023595,
1631999814.43342,-0.038242241589957864,
1631999814.5335355,-0.02321414026227195,
1631999814.633646,-0.03723425918383259,
1631999814.7337627,-0.03723425918383259,
1631999814.8338852,-0.026696261301613806,
1631999814.9339988,-0.046306100838960064,
1631999815.0341089,-0.02248106214872629,
1631999815.1345544,-0.04254907550703858,
1631999815.2346942,-0.03558483342835487,
1631999815.3348126,-0.03989166734543559,
1631999815.434917,-0.050887839048620404,
1631999815.5350423,-0.029262034699023595,
1631999815.635152,-0.04309888409219782,
1631999815.7352617,-0.04053311069478804,
1631999815.8353815,-0.03256088620997904,
1631999815.9354923,-0.04126618880833369,
1631999816.0356007,-0.037967337297378244,
1631999816.1357136,-0.054461594852155466,
1631999816.2358124,-0.037325893948025796,
1631999816.3359191,-0.03998330210962879,
1631999816.4360437,-0.049696587114108716,
1631999816.5361629,-0.038425511118344274,
1631999816.636955,-0.049513317585722305,
1631999816.7370763,-0.04878023947217665,
1631999816.8371937,-0.04401523173412989,
1631999816.93731,-0.041815997393492926,
1631999817.03742,-0.04126618880833369,
1631999817.1375313,-0.04777225706605137,
1631999817.2376454,-0.05574448155086036,
1631999817.3377585,-0.054553229616348675,
1631999817.4378788,-0.054828133908928295,
1631999817.5380013,-0.054095055795382645,
1631999817.6381059,-0.04749735277347175,
1631999817.7382195,-0.04768062230185816,
1631999817.8383362,-0.051071108577006814,
1631999817.9387503,-0.04887187423636986,
1631999818.0388792,-0.054369960087962264,
1631999818.138992,-0.05042966522765437,
1631999818.239491,-0.04868860470798344,
1631999818.3396206,-0.03320232955933149,
1631999818.4397342,0.00995764437566892,
1631999818.5398502,-0.07288018245499003,
1631999818.639988,-0.04722244848089213,
1631999818.74013,0.005101001873428958,
1631999818.840237,-0.037050989655446176,
1631999818.9403594,-0.002321414026220794,
1631999819.0404725,-0.05418669055957585,
1631999819.1405857,0.028467866742696694,
1631999819.2407076,-0.09056569194427895,
1631999819.3408186,-0.0005803535065498647,
1631999819.4409215,0.04853588010100899,
1631999819.5410445,0.09142094974342978,
1631999819.6411564,0.07850044799218761,
1631999819.7412686,0.09068787162988412,
1631999819.8413832,0.08683921153376943,
1631999819.9415014,0.08665594200538301,
1631999820.0416305,0.08299055143765474,
1631999820.1417534,0.08821373299666753,
1631999820.2418687,0.08170766473894985,
1631999820.341996,0.0958194184247037,
1631999820.4421031,0.08152439521056344,
1631999820.542227,0.09701067035921539,
1631999820.642351,0.08546469007087133,
1631999820.742461,0.09233729738536184,
1631999820.8426125,0.08546469007087133,
1631999820.9427238,0.08738902011892867,
1631999821.0428476,0.07758410035025555,
1631999821.1429663,0.08610613342022377,
1631999821.2430775,0.0822574733241091,
1631999821.3431976,0.0850981510140985,
1631999821.4433315,0.09004642828053167,
1631999821.5434473,0.0849148814857121,
1631999821.6435595,0.07905025657734685,
1631999821.7436874,0.08317382096604116,
1631999821.8438025,0.08931335016698602,
1631999821.943918,0.07840881322799441,
1631999822.044043,0.08766392441150829,
1631999822.1441624,0.08830536776086075,
1631999822.2443097,0.08958825445956564,
1631999822.3444288,0.08628940294861019,
1631999822.4445574,0.07126130162092427,
1631999822.5446835,0.08564795959925775,
1631999822.6448033,0.08793882870408791,
1631999822.7449222,0.10287529526758063,
1631999822.8450546,0.08216583855991588,
1631999822.9451616,0.08821373299666753,
1631999823.0452821,0.08711411582634905,
1631999823.145395,0.07226928402704955,
1631999823.2455015,0.08702248106215585,
1631999823.3456147,0.07785900464283517,
1631999823.4457245,0.08161602997475664,
1631999823.5459065,0.07886698704896045,
1631999823.6460223,0.08381526431539361,
1631999823.7461603,0.08784719393989471,
1631999823.8462682,0.08060804756863137,
1631999823.9464192,0.08473161195732568,
1631999824.0465317,0.08079131709701778,
1631999824.1466408,0.0756597703021982,
1631999824.246771,0.08463997719313247,
1631999824.3468876,0.07886698704896045,
1631999824.447011,0.08005823898347213,
1631999824.54713,0.083540360022814,
1631999824.6474197,0.07529323124542538,
1631999824.7475424,0.07813390893541479,
1631999824.8476906,0.07666775270832347,
1631999824.9477978,0.07181111020608352,
1631999825.0479047,0.08198256903152948,
1631999825.1480165,0.07391870978252728,
1631999825.248123,0.0836319947870072,
1631999825.3483093,0.07868371752057403,
1631999825.4484165,0.0810662213895974,
1631999825.5485365,0.06695446770384356,
1631999825.6486511,0.07281909261220879,
1631999825.7487583,0.07657611794413027,
1631999825.8488822,0.08573959436345095,
1631999825.949017,0.08033314327605175,
1631999826.0491188,0.0661297548261047,
1631999826.1492488,0.07281909261220879,
1631999826.2493618,0.07336890119736804,
1631999826.34948,0.06805408487416204,
1631999826.4496098,0.07914189134154007,
1631999826.549726,0.067595911053196,
1631999826.6498404,0.07080312779995825,
1631999826.7499604,0.06530504194836584,
1631999826.8500757,0.0688787977519009,
1631999826.9501925,0.06255599902256963,
1631999827.050313,0.06686283293965035,
1631999827.1504183,0.0730023621405952,
1631999827.2505322,0.06173128614483077,
1631999827.3506758,0.06823735440254845,
1631999827.450794,0.07190274497027672,
1631999827.550901,0.06667956341126394,
1631999827.6510441,0.0674126415248096,
1631999827.751155,0.0541256007167946,
1631999827.8512685,0.06851225869512807,
1631999827.9513805,0.06145638185225115,
1631999828.051493,0.05366742689582857,
1631999828.1516378,0.0717194754418903,
1631999828.251785,0.06979514539383297,
1631999828.351897,0.06713773723222997,
1631999828.4520068,0.06118147755967153,
1631999828.552141,0.06457196383482018,
1631999828.6522596,0.06768754581738921,
1631999828.7523725,0.06200619043741039,
1631999828.8524907,0.07492669218865254,
1631999828.9526255,0.06548831147675224,
1631999829.0527341,0.060081860389353044,
1631999829.1528468,0.06777918058158242,
1631999829.2530005,0.0580658955771025,
1631999829.3531039,0.0742852488393001,
1631999829.4532137,0.050368575384873125,
1631999829.5533366,0.05705791317097722,
1631999829.6534395,0.075568135538005,
1631999829.7535481,0.054950313594533465,
1631999829.8536665,0.0674126415248096,
1631999829.9537826,0.05742445222775005,
1631999830.053896,0.06283090331514925,
1631999830.1546884,0.05852406939806853,
1631999830.2547998,0.051101653498418775,
1631999830.35499,0.06530504194836584,
1631999830.4551084,0.04789443675165654,
1631999830.555223,0.04807770628004295,
1631999830.6553397,0.06228109472999001,
1631999830.7554524,0.05339252260324895,
1631999830.855573,0.05265944448970329,
1631999830.955693,0.05989859086096663,
1631999831.0558064,0.060081860389353044,
1631999831.1559255,0.0580658955771025,
1631999831.256144,0.0500020363281003,
1631999831.3562617,0.07639284841574386,
1631999831.4563913,0.04523702859005354,
1631999831.5565062,0.038456056039756235,
1631999831.6566167,0.05797426081290929,
1631999831.756767,0.03625682169911927,
1631999831.856872,0.04615337623198561,
1631999831.9569943,0.059257147511614185,
1631999832.057122,0.04038038608781358,
1631999832.1572413,0.05751608699194325,
1631999832.2573617,0.03717316934105134,
1631999832.3574803,0.051101653498418775,
1631999832.458135,0.04789443675165654,
1631999832.5582528,0.043312698541996195,
1631999832.658367,0.04322106377780299,
1631999832.758487,0.04551193288263316,
1631999832.8585896,0.05229290543293046,
1631999832.9586968,0.051743096847771224,
1631999833.0588005,0.04422904618392826,
1631999833.1589034,0.05339252260324895,
1631999833.2590075,0.033416144009129865,
1631999833.3591206,0.0527510792538965,
1631999833.45923,0.05907387798322777,
1631999833.5593905,0.06136474708805794,
1631999833.6595616,0.08757228964731509,
1631999833.7597451,0.08143276044637023,
1631999833.8600242,0.10159240856887573,
1631999833.9601474,0.12202696098396085,
1631999834.0602665,0.13696342754745355,
1631999834.1604078,0.17462531563086156,
1631999834.260637,0.18067321006761322,
1631999834.3607543,0.19478496375336707,
1631999834.4609718,0.21265374277104238,
1631999834.5611334,0.20431497922946057,
1631999834.6613216,0.2167773071597367,
1631999834.7619781,0.1994583367272206,
1631999834.862155,0.20074122342592549,
1631999834.9623365,0.2045898835220402,
1631999835.0625114,0.20330699682333528,
1631999835.162698,0.20825527408976846,
1631999835.2628698,0.19359371181885537,
1631999835.3630466,0.2047731530504266,
1631999835.4632504,0.20019141484076625,
1631999835.5633883,0.19166938177079804,
1631999835.6635785,0.1967092938014244,
1631999835.763776,0.19194428606337766,
1631999835.8638856,0.19570131139529912,
1631999835.9639978,0.21027123890201901,
1631999836.064165,0.1819560967663181,
1631999836.1642995,0.20156593630366437,
1631999836.2644136,0.18699600879694447,
1631999836.3645775,0.1884621650240358,
1631999836.4646935,0.18021503624664717,
1631999836.5648065,0.19835871955690212,
1631999836.6654034,0.1979921805001293,
1631999836.7655299,0.18479677445630752,
1631999836.86564,0.20559786592816545,
1631999836.9657881,0.17691618473569173,
1631999837.0659127,0.1993667019630274,
1631999837.1660233,0.18882870408080862,
1631999837.2661326,0.1966176590372312,
1631999837.3662553,0.19817545002851572,
1631999837.466364,0.1964343895088448,
1631999837.566474,0.19615948521626517,
1631999837.6665962,0.18882870408080862,
1631999837.7667034,0.2022073796530168,
1631999837.8668196,0.19487659851756026,
1631999837.9669354,0.1911195731856388,
1631999838.0670505,0.19176101653499122,
